report_no,incident_time,complaint_type,cctv_flag,precinct_code,area_code,area_name,cctv_count,population_density,rounds_per_day,crime_code,crime_type,weapon_code,weapon_desc,case_status_code,case_status_desc,victim_code,victim_name,victim_sex,victim_age,was_victim_alone,is_victim_insured,offender_code,offender_name,offender_sex,offender_age,repeated_offender,no_of_offences,offender_relation,officer_code,officer_name,officer_sex,avg_close_days,week_number
200100708,15:30:00,Phone,FALSE,6,990,Hollenbeck,170,6686,5,624,BATTERY - SIMPLE ASSAULT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,71122,Rufus,M,35,No,Yes,1086406,Amya,F,40,Yes,6,No,3260,Loletha,F,14,4
200100799,01:53:00,Phone,FALSE,3,336,Van Nuys,250,4149,9,310,BURGLARY,113,SIMULATED GUN,IC,Invest Cont,40645,Ellie,F,53,No,No,905109,Judson,M,35,Yes,7,No,3245,Arretta,F,12,4
200105774,22:15:00,In-Person,FALSE,7,1001,Hollywood,280,3200,8,624,BATTERY - SIMPLE ASSAULT,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,113351,Carly,F,60,No,No,1276562,Coleen,F,37,Yes,7,No,5100,Rheda,F,12,4
200105776,19:30:00,Phone,FALSE,5,893,Harbor,180,6500,10,930,CRIMINAL THREATS - NO WEAPON D,212,BOTTLE,IC,Invest Cont,16719,Faye,F,48,No,No,1520452,Jarod,M,39,Yes,5,No,4002,Lynnmarie,F,12,4
200105777,19:30:00,In-Person,FALSE,4,425,Rampart,165,8500,5,930,CRIMINAL THREATS - NO WEAPON D,212,BOTTLE,IC,Invest Cont,83606,Sonia,F,39,Yes,Yes,280986,Dalia,F,32,Yes,3,No,1033,Niki,M,14,4
200105778,17:45:00,Phone,FALSE,7,1001,Hollywood,280,3200,8,442,SHOPLIFTING - PETTY THEFT ($95,400,"STRONG-ARM (HANDS, FIST, FEET ",IC,Invest Cont,118544,Camille,F,30,Yes,No,1854491,Francisca,F,39,Yes,7,No,5100,Rheda,F,12,4
200105779,16:46:00,Phone,FALSE,7,1001,Hollywood,280,3200,8,442,SHOPLIFTING - PETTY THEFT ($95,400,"STRONG-ARM (HANDS, FIST, FEET ",AA,Adult Arrest,79466,Opal,F,49,No,Yes,883316,Hunter,F,32,Yes,1,No,5100,Rheda,F,12,4
200105780,02:00:00,Phone,FALSE,4,425,Rampart,165,8500,5,230,"ASSAULT WITH DEADLY WEAPON, AG",216,SCISSORS,IC,Invest Cont,77489,Nichole,F,37,Yes,No,1300485,Brynlee,F,40,No,0,No,1033,Niki,M,14,4
200105781,11:04:00,Phone,FALSE,3,336,Van Nuys,250,4149,9,648,ARSON,218,OTHER CUTTING INSTRUMENT,IC,Invest Cont,49377,Ramona,F,57,No,No,1152532,Cyril,M,35,No,0,No,1026,Jermale,M,9,4
200105782,05:00:00,In-Person,FALSE,3,336,Van Nuys,250,4149,9,626,INTIMATE PARTNER - SIMPLE ASSA,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,25761,Cheyenne,F,32,Yes,No,2326905,Gale,M,36,No,0,No,1026,Jermale,M,9,4
